TimeSinceFirstPos,DetectionSpeed,n_low,N,prop_low
0,Frequent testing (≤1 days since last non-positive PCR); n=27,8,27,0.2962962962962963
1,Frequent testing (≤1 days since last non-positive PCR); n=27,12,20,0.6
2,Frequent testing (≤1 days since last non-positive PCR); n=27,16,22,0.7272727272727273
3,Frequent testing (≤1 days since last non-positive PCR); n=27,19,25,0.76
4,Frequent testing (≤1 days since last non-positive PCR); n=27,14,22,0.6363636363636364
5,Frequent testing (≤1 days since last non-positive PCR); n=27,13,25,0.52
6,Frequent testing (≤1 days since last non-positive PCR); n=27,6,24,0.25
7,Frequent testing (≤1 days since last non-positive PCR); n=27,3,23,0.13043478260869565
8,Frequent testing (≤1 days since last non-positive PCR); n=27,2,24,0.08333333333333333
9,Frequent testing (≤1 days since last non-positive PCR); n=27,1,26,0.038461538461538464
10,Frequent testing (≤1 days since last non-positive PCR); n=27,0,25,0
11,Frequent testing (≤1 days since last non-positive PCR); n=27,0,22,0
12,Frequent testing (≤1 days since last non-positive PCR); n=27,0,20,0
13,Frequent testing (≤1 days since last non-positive PCR); n=27,0,21,0
14,Frequent testing (≤1 days since last non-positive PCR); n=27,0,19,0
15,Frequent testing (≤1 days since last non-positive PCR); n=27,0,19,0
0,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",49,70,0.7
1,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",44,55,0.8
2,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",45,53,0.8490566037735849
3,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",41,57,0.7192982456140351
4,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",30,59,0.5084745762711864
5,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",25,64,0.390625
6,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",21,63,0.3333333333333333
7,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",14,63,0.2222222222222222
8,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",12,64,0.1875
9,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",5,61,0.08196721311475409
10,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",1,58,0.017241379310344827
11,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",0,50,0
12,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",0,47,0
13,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",0,48,0
14,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",0,45,0
15,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",0,43,0
