TimeSinceFirstPos,DetectionSpeed,n_low,N,prop_low
0,Frequent testing (≤1 days since last non-positive PCR); n=6,2,6,0.3333333333333333
1,Frequent testing (≤1 days since last non-positive PCR); n=6,5,5,1
2,Frequent testing (≤1 days since last non-positive PCR); n=6,2,2,1
3,Frequent testing (≤1 days since last non-positive PCR); n=6,2,2,1
4,Frequent testing (≤1 days since last non-positive PCR); n=6,2,2,1
5,Frequent testing (≤1 days since last non-positive PCR); n=6,2,2,1
6,Frequent testing (≤1 days since last non-positive PCR); n=6,4,4,1
7,Frequent testing (≤1 days since last non-positive PCR); n=6,1,3,0.3333333333333333
8,Frequent testing (≤1 days since last non-positive PCR); n=6,1,3,0.3333333333333333
9,Frequent testing (≤1 days since last non-positive PCR); n=6,2,4,0.5
10,Frequent testing (≤1 days since last non-positive PCR); n=6,0,4,0
11,Frequent testing (≤1 days since last non-positive PCR); n=6,1,2,0.5
12,Frequent testing (≤1 days since last non-positive PCR); n=6,0,2,0
13,Frequent testing (≤1 days since last non-positive PCR); n=6,0,2,0
14,Frequent testing (≤1 days since last non-positive PCR); n=6,0,1,0
15,Frequent testing (≤1 days since last non-positive PCR); n=6,0,1,0
0,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=101",77,101,0.7623762376237624
1,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=101",37,45,0.8222222222222222
2,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=101",36,40,0.9
3,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=101",34,44,0.7727272727272727
4,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=101",25,39,0.6410256410256411
5,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=101",15,40,0.375
6,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=101",7,43,0.16279069767441862
7,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=101",8,57,0.14035087719298245
8,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=101",5,48,0.10416666666666667
9,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=101",5,60,0.08333333333333333
10,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=101",2,57,0.03508771929824561
11,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=101",2,47,0.0425531914893617
12,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=101",0,48,0
13,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=101",0,46,0
14,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=101",0,39,0
15,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=101",0,40,0
